time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-14T07:36:36.200Z,19.3193,-155.809,12.4,2.8,Ml,,104.4,0.08084838,0.12,hv,hv60894861,2015-04-14T15:45:12.902Z,"16km SSE of Honaunau-Napoopoo, Hawaii",earthquake
2015-04-14T06:44:36.000Z,59.9,-153.6631,201.5,2.7,ml,,,,0.63,ak,ak11552867,2015-04-14T14:47:19.045Z,"72km ENE of Old Iliamna, Alaska",earthquake
2015-04-14T05:15:43.590Z,35.8359,-97.4487,2.55,2.6,mb_lg,,102,0.039,0.45,us,us200026c5,2015-04-14T13:18:18.479Z,"5km SSW of Guthrie, Oklahoma",earthquake
2015-04-14T05:06:49.440Z,35.6081,-97.1293,7.07,2.6,mb_lg,,85,0.172,0.43,us,us200026c3,2015-04-14T13:07:10.416Z,"8km SE of Luther, Oklahoma",earthquake
2015-04-14T04:31:29.060Z,-4.6071,138.7666,40.55,4.5,mb,,156,6.716,0.66,us,us200026c1,2015-04-14T12:34:06.610Z,"234km NW of Tanahmerah, Indonesia",earthquake
2015-04-14T04:23:37.610Z,36.5667,-99.0549,8.68,2.7,mb_lg,,195,0.191,0.52,us,us200026by,2015-04-14T05:11:35.761Z,"19km NE of Mooreland, Oklahoma",earthquake
2015-04-14T02:21:27.500Z,19.4245,-154.9652,4.2,2.5,Ml,,176.4,0.03593261,0.12,hv,hv60894651,2015-04-14T17:12:04.805Z,"6km SW of Leilani Estates, Hawaii",earthquake
2015-04-14T01:37:51.500Z,-9.5001,118.6918,82.38,4.4,mb,,83,3.605,0.83,us,us200026bs,2015-04-14T02:29:25.735Z,"34km W of Kawangohari, Indonesia",earthquake
2015-04-13T23:51:09.220Z,31.1468333,-116.6001667,6,3.39,ml,5,250,0.7209,0.17,ci,ci37363312,2015-04-14T21:17:26.315Z,"63km S of Maneadero, B.C., Mexico",earthquake
2015-04-13T22:52:54.000Z,59.4334,-153.2117,111.3,2.5,ml,,,,0.29,ak,ak11552629,2015-04-14T06:55:32.867Z,"86km WSW of Anchor Point, Alaska",earthquake
2015-04-13T22:16:19.600Z,-21.1064,-68.6373,115.59,5.4,mb,,31,0.796,1.11,us,us2000269j,2015-04-14T19:46:02.000Z,"153km NNE of Calama, Chile",earthquake
2015-04-13T21:40:48.710Z,-17.4366,-178.457,561.48,4.8,mb,,87,3.343,1.22,us,us2000269c,2015-04-14T05:43:26.572Z,"256km ESE of Lambasa, Fiji",earthquake
2015-04-13T21:08:52.000Z,59.1325,-152.6704,71.5,2.9,ml,,,,0.56,ak,ak11552503,2015-04-14T05:11:42.502Z,"85km SW of Homer, Alaska",earthquake
2015-04-13T21:02:19.650Z,43.6235,87.6732,27.8,4.3,mb,,65,0.191,0.77,us,us2000269r,2015-04-13T22:54:01.677Z,"20km SSE of Urunchi, China",earthquake
2015-04-13T20:21:25.150Z,-40.9988,43.4661,10,4.7,mb,,53,19.351,0.45,us,us2000268l,2015-04-14T04:24:06.554Z,"Southwest Indian Ridge",earthquake
2015-04-13T19:28:08.050Z,-7.2689,120.4534,544.21,4.3,mb,,58,2.228,0.61,us,us2000267y,2015-04-14T03:31:02.222Z,"111km N of Congkar, Indonesia",earthquake
2015-04-13T18:51:03.580Z,39.7083,143.6526,10,4.9,mb,,97,2.334,1,us,us2000267d,2015-04-14T02:53:46.807Z,"146km E of Miyako, Japan",earthquake
2015-04-13T17:26:42.730Z,-5.1664,151.9832,72.62,4.1,mb,,211,0.985,0.58,us,us2000266s,2015-04-14T01:29:23.527Z,"95km SSW of Kokopo, Papua New Guinea",earthquake
2015-04-13T17:13:57.420Z,23.9202,121.0817,21.91,4.5,mb,,87,0.176,1.31,us,us2000266k,2015-04-14T12:14:22.086Z,"12km ESE of Buli, Taiwan",earthquake
2015-04-13T16:56:29.580Z,37.1071,141.4194,33.95,4.3,mb,,155,0.91,0.91,us,us2000266b,2015-04-14T00:59:03.889Z,"48km E of Iwaki, Japan",earthquake
2015-04-13T16:31:10.200Z,19.2436,-64.6986,30,3.3,Md,11,284.4,0.82555175,0.18,pr,pr15103007,2015-04-14T00:33:45.028Z,"91km N of Road Town, British Virgin Islands",earthquake
2015-04-13T15:37:46.370Z,36.7232,-98.0048,4.89,2.7,mb_lg,,49,0.173,0.24,us,us2000264u,2015-04-13T23:40:21.394Z,"25km WSW of Medford, Oklahoma",earthquake
2015-04-13T15:05:41.390Z,1.8274,126.3541,7.89,4.7,mb,,100,1.457,0.66,us,us2000264m,2015-04-13T23:08:22.301Z,"137km ENE of Bitung, Indonesia",earthquake
2015-04-13T14:37:48.740Z,30.7719,141.6624,7.97,4.7,mb,,64,2.815,0.65,us,us2000264f,2015-04-13T22:40:44.611Z,"Izu Islands, Japan region",earthquake
2015-04-13T14:32:28.070Z,-8.5207,-80.3052,26.92,4.9,mb,,93,8.894,0.85,us,us2000264c,2015-04-14T14:37:06.587Z,"132km WSW of Santiago de Cao, Peru",earthquake
2015-04-13T14:10:06.100Z,36.5068,-99.0534,9.177,3.5,ml,,234,,0.49,us,us2000263w,2015-04-13T20:09:15.519Z,"15km ENE of Mooreland, Oklahoma",earthquake
2015-04-13T13:37:35.180Z,-4.7089,153.0046,50,5.3,mwb,,22,0.983,0.54,us,us2000263s,2015-04-13T21:40:16.743Z,"26km S of Taron, Papua New Guinea",earthquake
2015-04-13T13:13:51.800Z,35.811,-97.4519,5.243,2.5,mb_lg,,103,,0.38,us,us20002649,2015-04-13T15:47:25.158Z,"7km SSW of Guthrie, Oklahoma",earthquake
2015-04-13T12:38:59.900Z,36.0938,-97.5549,5,3.3,mb_lg,,21,0.307,0.65,us,us2000263f,2015-04-13T20:08:19.664Z,"16km NNE of Crescent, Oklahoma",earthquake
2015-04-13T12:17:43.700Z,18.2436,-66.5414,77,2.5,Md,4,147.6,0.17157822,0.07,pr,pr15103006,2015-04-13T20:20:15.805Z,"5km ENE of Jayuya, Puerto Rico",earthquake
2015-04-13T11:41:40.500Z,19.6005,-66.0893,33,3.1,Md,11,298.8,1.19116607,0.4,pr,pr15103004,2015-04-13T19:44:13.259Z,"125km N of San Juan, Puerto Rico",earthquake
2015-04-13T11:40:15.600Z,19.385,-155.243,2.7,2.7,Ml,,46.8,0.00898315,0.08,hv,hv60894051,2015-04-14T18:48:11.844Z,"5km S of Volcano, Hawaii",earthquake
2015-04-13T11:15:54.110Z,-0.0337,123.4364,146.28,4.5,mb,,68,1.201,0.43,us,us20002634,2015-04-13T19:18:28.839Z,"52km SSE of Bilungala, Indonesia",earthquake
2015-04-13T10:28:45.530Z,23.9825,102.9785,10,4.7,mb,,98,6.369,0.86,us,us20002630,2015-04-13T18:31:30.602Z,"10km SSW of Huaxijie, China",earthquake
2015-04-13T09:27:04.190Z,36.5886,71.3235,94.58,4.8,mb,,72,0.804,0.68,us,us2000262s,2015-04-13T17:29:34.533Z,"21km WSW of Ashkasham, Afghanistan",earthquake
